city_id,city_name,oblast
1,Бар,Вінницька
2,Бершадь,Вінницька
3,Брацлав,Вінницька
4,Вапнярка,Вінницька
5,Вендичани,Вінницька
6,Вінниця,Вінницька
7,Вороновиця,Вінницька
8,Гайсин,Вінницька
9,Гнівань,Вінницька
10,Жмеринка,Вінницька
11,Іллінці,Вінницька
12,Калинівка,Вінницька
13,Кирнасівка,Вінницька
14,Козятин,Вінницька
15,Крижопіль,Вінницька
16,Ладижин,Вінницька
17,Липовець,Вінницька
18,Літин,Вінницька
19,Могилів-Подільський,Вінницька
20,Муровані Курилівці,Вінницька
21,Немирів,Вінницька
22,Оратів,Вінницька
23,Піщанка,Вінницька
24,Погребище,Вінницька
25,Стрижавка,Вінницька
26,Сутиски,Вінницька
27,Теплик,Вінницька
28,Томашпіль,Вінницька
29,Тростянець,Вінницька
30,Тульчин,Вінницька
31,Тиврів,Вінницька
32,Хмільник,Вінницька
33,Чернівці,Вінницька
34,Чечельник,Вінницька
35,Шаргород,Вінницька
36,Шпиків,Вінницька
37,Ямпіль,Вінницька
38,Берестечко,Волинська
39,Володимир,Волинська
40,Голоби,Волинська
41,Горохів,Волинська
42,Іваничі,Волинська
43,Камінь-Каширський,Волинська
44,Ківерці,Волинська
45,Ковель,Волинська
46,Локачі,Волинська
47,Луцьк,Волинська
48,Любешів,Волинська
49,Любомль,Волинська
50,Маневичі,Волинська
51,Нововолинськ,Волинська
52,Олика,Волинська
53,Ратне,Волинська
54,Рожище,Волинська
55,Стара Вижівка,Волинська
56,Торчин,Волинська
57,Турійськ,Волинська
58,Устилуг,Волинська
59,Цумань,Волинська
60,Шацьк,Волинська
61,Апостолове,Дніпропетровська
62,Васильківка,Дніпропетровська
63,Верхньодніпровськ,Дніпропетровська
64,Верхівцеве,Дніпропетровська
65,Вищетарасівка,Дніпропетровська
66,Вільногірськ,Дніпропетровська
67,Гвардійське,Дніпропетровська
68,Глеюватка,Дніпропетровська
69,Губиниха,Дніпропетровська
70,Дніпро,Дніпропетровська
71,Дніпровське,Дніпропетровська
72,Жовті Води,Дніпропетровська
73,Зеленодольськ,Дніпропетровська
74,Іларіонове,Дніпропетровська
75,Кам'янське,Дніпропетровська
76,Карнаухівка,Дніпропетровська
77,Кривий Ріг,Дніпропетровська
78,Кринички,Дніпропетровська
79,Лозуватка,Дніпропетровська
80,Магдалинівка,Дніпропетровська
81,Марганець,Дніпропетровська
82,Межова,Дніпропетровська
83,Нікополь,Дніпропетровська
84,Новомосковськ,Дніпропетровська
85,Обухівка,Дніпропетровська
86,Павлоград,Дніпропетровська
87,Перещепине,Дніпропетровська
88,Першотравенськ,Дніпропетровська
89,Петриківка,Дніпропетровська
90,Петропавлівка,Дніпропетровська
91,Підгородне,Дніпропетровська
92,Покров,Дніпропетровська
93,Покровське,Дніпропетровська
94,П'ятихатки,Дніпропетровська
95,Радушне,Дніпропетровська
96,Роздори,Дніпропетровська
97,Синельникове,Дніпропетровська
98,Слобожанське,Дніпропетровська
99,Солоне,Дніпропетровська
100,Софіївка,Дніпропетровська
101,Сурсько-Литовське,Дніпропетровська
102,Тернівка,Дніпропетровська
103,Томаківка,Дніпропетровська
104,Царичанка,Дніпропетровська
105,Черкаське,Дніпропетровська
106,Широке,Дніпропетровська
107,Авдіївка,Донецька
108,Амвросіївка ⚠️,Донецька
109,Бахмут,Донецька
110,Бельманка,Донецька
111,Білицьке,Донецька
112,Білозерське,Донецька
113,Благодатне,Донецька
114,Бойківське (Тельманове) ⚠️,Донецька
115,Бунге (Юнокомунарівськ) ⚠️,Донецька
116,Велика Новосілка,Донецька
117,Волноваха ⚠️,Донецька
118,Вугледар,Донецька
119,Вуглегірськ ⚠️,Донецька
120,Гірник,Донецька
121,Гольмівський ⚠️,Донецька
122,Горлівка ⚠️,Донецька
123,Дебальцеве ⚠️,Донецька
124,Добропілля,Донецька
125,Докучаєвськ ⚠️,Донецька
126,Донецьк ⚠️,Донецька
127,Дружківка,Донецька
128,Єнакієве ⚠️,Донецька
129,Жданівка ⚠️,Донецька
130,Залізне,Донецька
131,Зугрес ⚠️,Донецька
132,Іловайськ ⚠️,Донецька
133,Кальміуське (Комсомольське) ⚠️,Донецька
134,Костянтинівка,Донецька
135,Краматорськ,Донецька
136,Красногорівка,Донецька
137,Курахове,Донецька
138,Лиман,Донецька
139,Макіївка ⚠️,Донецька
140,Мангуш,Донецька
141,Маріуполь ⚠️,Донецька
142,Мар'їнка,Донецька
143,Миколаївка,Донецька
144,Мирноград,Донецька
145,Миронівський,Донецька
146,Нікольське,Донецька
147,Новоазовськ ⚠️,Донецька
148,Новогродівка,Донецька
149,Новодонецьке,Донецька
150,Новотроїцьке,Донецька
151,Нью-Йорк,Донецька
152,Очеретине,Донецька
153,Пантелеймонівка ⚠️,Донецька
154,Покровськ,Донецька
155,Родинське,Донецька
156,Світлодарськ,Донецька
157,Святогірськ,Донецька
158,Селидове,Донецька
159,Сартана ⚠️,Донецька
160,Сіверськ,Донецька
161,Слов'янськ,Донецька
162,Сніжне ⚠️,Донецька
163,Соледар,Донецька
164,Сопине,Донецька
165,Старобешеве ⚠️,Донецька
166,Торецьк,Донецька
167,Удачне,Донецька
168,Харцизьк ⚠️,Донецька
169,Хрестівка (Кіровське) ⚠️,Донецька
170,Часів Яр,Донецька
171,Чистякове (Торез) ⚠️,Донецька
172,Шахтарськ ⚠️,Донецька
173,Ясинувата ⚠️,Донецька
174,Ясна Поляна,Донецька
175,Андрушівка,Житомирська
176,Баранівка,Житомирська
177,Бердичів,Житомирська
178,Брусилів,Житомирська
179,Городок,Житомирська
180,Гришківці,Житомирська
181,Довбиш,Житомирська
182,Ємільчине,Житомирська
183,Житомир,Житомирська
184,Звягель,Житомирська
185,Іршанськ,Житомирська
186,Коростень,Житомирська
187,Коростишів,Житомирська
188,Лугини,Житомирська
189,Любар,Житомирська
190,Малин,Житомирська
191,Нова Борова,Житомирська
192,Новогуйвинське,Житомирська
193,Овруч,Житомирська
194,Озерне,Житомирська
195,Олевськ,Житомирська
196,Попільня,Житомирська
197,Пулини,Житомирська
198,Радомишль,Житомирська
199,Романів,Житомирська
200,Ружин,Житомирська
201,Хорошів,Житомирська
202,Черняхів,Житомирська
203,Чуднів,Житомирська
204,Батьово,Закарпатська
205,Берегове,Закарпатська
206,Буштино,Закарпатська
207,Великий Бичків,Закарпатська
208,Великий Березний,Закарпатська
209,Вилок,Закарпатська
210,Виноградів,Закарпатська
211,Вишково,Закарпатська
212,Воловець,Закарпатська
213,Дубове,Закарпатська
214,Іршава,Закарпатська
215,Королево,Закарпатська
216,Міжгір'я,Закарпатська
217,Мукачево,Закарпатська
218,Перечин,Закарпатська
219,Рахів,Закарпатська
220,Свалява,Закарпатська
221,Солотвино,Закарпатська
222,Тересва,Закарпатська
223,Тячів,Закарпатська
224,Ужгород,Закарпатська
225,Хуст,Закарпатська
226,Чинадійово,Закарпатська
227,Чоп,Закарпатська
228,Ясіня,Закарпатська
229,Бердянськ ⚠️,Запорізька
230,Василівка ⚠️,Запорізька
231,Веселе ⚠️,Запорізька
