id,name_uk,name_ru,name_en,category,kcal,protein_g,fat_g,carbs_g,fiber_g,iron_mg,calcium_mg,magnesium_mg,potassium_mg,zinc_mg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b6_mg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,omega3_g,raw_weight,boiled_weight,boiled_kcal,boiled_protein,boiled_fat,boiled_vitamins_loss,fried_weight,fried_kcal,fried_protein,fried_fat,fried_vitamins_loss,baked_weight,baked_kcal,baked_protein,baked_fat,baked_vitamins_loss,stewed_weight,stewed_kcal,stewed_protein,stewed_fat,stewed_vitamins_loss,steamed_weight,steamed_kcal,steamed_protein,steamed_fat,steamed_vitamins_loss,grilled_weight,grilled_kcal,grilled_protein,grilled_fat,grilled_vitamins_loss
1,Куряча грудка,Куриная грудка,Chicken breast,М'ясо/Птиця,165,31.0,3.6,0.0,0.0,0.9,15,29,256,1.0,6,0.07,0.12,0.60,0.34,0.0,0.1,0.2,0.0,0.04,1.0,1.15,1.0,1.0,0.8,0.15,0.75,1.4,1.0,1.6,0.25,0.80,1.15,1.0,0.9,0.10,0.85,1.1,1.0,0.85,0.18,1.10,1.0,1.0,0.85,0.12,0.70,1.2,1.0,0.7,0.20
2,Яловичина (вирізка),Говядина (вырезка),Beef tenderloin,М'ясо/Птиця,201,29.9,8.5,0.0,0.0,2.6,18,24,348,4.8,0,0.09,0.21,0.62,2.64,0.0,0.0,0.4,1.6,0.05,1.0,1.20,1.0,1.0,0.75,0.15,0.70,1.5,1.0,1.7,0.28,0.75,1.2,1.0,0.85,0.12,0.85,1.15,1.0,0.8,0.20,1.15,1.0,1.0,0.8,0.12,0.65,1.3,1.0,0.65,0.25
3,Свинина (вирізка),Свинина (вырезка),Pork tenderloin,М'ясо/Птиця,143,25.7,3.9,0.0,0.0,0.9,5,28,423,2.4,2,0.96,0.33,0.72,0.70,0.6,0.5,0.3,0.0,0.02,1.0,1.25,1.0,1.0,0.70,0.20,0.65,1.6,1.0,1.9,0.30,0.70,1.25,1.0,0.8,0.15,0.80,1.2,1.0,0.75,0.22,1.20,1.0,1.0,0.75,0.15,0.60,1.4,1.0,0.6,0.28
4,Індичка (грудка),Индейка (грудка),Turkey breast,М'ясо/Птиця,135,30.1,0.7,0.0,0.0,0.6,12,32,249,1.4,0,0.05,0.11,0.81,0.37,0.0,0.0,0.1,0.0,0.03,1.0,1.18,1.0,1.0,0.75,0.15,0.72,1.45,1.0,1.65,0.25,0.78,1.18,1.0,0.85,0.10,0.82,1.12,1.0,0.8,0.18,1.12,1.0,1.0,0.8,0.12,0.68,1.25,1.0,0.65,0.22
5,Яловича печінка,Говяжья печень,Beef liver,М'ясо/Субпродукти,135,20.4,3.6,3.9,0.0,6.2,5,18,313,4.0,9442,0.18,2.76,1.08,59.3,1.3,1.1,0.4,3.1,0.01,1.0,1.10,1.0,1.0,0.85,0.25,0.75,1.3,1.0,1.5,0.35,0.80,1.15,1.0,0.9,0.18,0.85,1.1,1.0,0.9,0.28,1.08,1.0,1.0,0.9,0.20,0.72,1.2,1.0,0.75,0.30
6,Куряча печінка,Куриная печень,Chicken liver,М'ясо/Субпродукти,119,16.9,4.8,0.9,0.0,9.0,8,19,230,2.7,3296,0.16,1.78,0.64,16.6,17.9,0.3,0.7,0.0,0.02,1.0,1.12,1.0,1.0,0.8,0.25,0.73,1.35,1.0,1.55,0.32,0.78,1.18,1.0,0.85,0.20,0.83,1.12,1.0,0.85,0.28,1.10,1.0,1.0,0.85,0.22,0.70,1.25,1.0,0.7,0.30
7,Лосось (семга),Лосось (семга),Salmon,Риба/Морепродукти,208,19.8,13.4,0.0,0.0,0.3,9,29,363,0.4,40,0.23,0.38,0.94,3.05,3.9,11.0,1.1,0.1,2.26,1.0,1.15,1.0,1.0,0.9,0.12,0.75,1.35,1.0,1.5,0.22,0.80,1.15,1.0,0.95,0.08,0.85,1.1,1.0,0.92,0.15,1.12,1.0,1.0,0.95,0.10,0.72,1.2,1.0,0.85,0.18
8,Тунець,Тунец,Tuna,Риба/Морепродукти,144,23.3,4.9,0.0,0.0,1.0,8,50,252,0.6,27,0.05,0.10,0.93,9.43,1.0,3.6,0.5,0.0,1.28,1.0,1.18,1.0,1.0,0.85,0.15,0.70,1.4,1.0,1.6,0.25,0.75,1.2,1.0,0.9,0.10,0.82,1.15,1.0,0.88,0.18,1.15,1.0,1.0,0.9,0.12,0.68,1.25,1.0,0.8,0.20
9,Тріска,Треска,Cod,Риба/Морепродукти,82,17.8,0.7,0.0,0.0,0.4,16,32,413,0.5,12,0.08,0.07,0.23,0.89,1.0,1.2,0.2,0.1,0.22,1.0,1.20,1.0,1.0,0.8,0.15,0.72,1.35,1.0,1.55,0.25,0.78,1.18,1.0,0.85,0.10,0.84,1.12,1.0,0.82,0.18,1.18,1.0,1.0,0.85,0.12,0.70,1.22,1.0,0.75,0.20
10,Скумбрія,Скумбрия,Mackerel,Риба/Морепродукти,205,18.6,13.9,0.0,0.0,1.6,12,76,314,0.6,50,0.18,0.36,0.40,8.71,0.4,4.0,1.5,5.0,2.67,1.0,1.12,1.0,1.0,0.88,0.12,0.68,1.4,1.0,1.6,0.25,0.73,1.18,1.0,0.92,0.10,0.78,1.15,1.0,0.9,0.18,1.10,1.0,1.0,0.92,0.12,0.65,1.25,1.0,0.82,0.22
